"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"colorado football schedule","20K+","October 5, 2024 at 12:20:00 PM UTC-4","October 5, 2024 at 4:30:00 PM UTC-4","colorado football schedule,cu football schedule","https://trends.google.com/trends/explore?q=colorado%20football%20schedule&geo=US&hl=en"
"indians","1K+","October 5, 2024 at 1:30:00 PM UTC-4",,"indians","https://trends.google.com/trends/explore?q=indians&geo=US&hl=en"
"emmanuel clase","500+","October 5, 2024 at 3:50:00 PM UTC-4",,"emmanuel clase","https://trends.google.com/trends/explore?q=emmanuel%20clase&geo=US&hl=en"
"ndsu vs und","1K+","October 5, 2024 at 3:00:00 PM UTC-4",,"ndsu vs und","https://trends.google.com/trends/explore?q=ndsu%20vs%20und&geo=US&hl=en"
"tanner bibee","2K+","October 5, 2024 at 1:00:00 PM UTC-4",,"tanner bibee","https://trends.google.com/trends/explore?q=tanner%20bibee&geo=US&hl=en"
"macron","1K+","October 5, 2024 at 3:10:00 PM UTC-4",,"macron","https://trends.google.com/trends/explore?q=macron&geo=US&hl=en"
"payton thorne","1K+","October 5, 2024 at 3:40:00 PM UTC-4",,"payton thorne","https://trends.google.com/trends/explore?q=payton%20thorne&geo=US&hl=en"
"yale football","2K+","October 5, 2024 at 12:30:00 PM UTC-4",,"yale football","https://trends.google.com/trends/explore?q=yale%20football&geo=US&hl=en"
"the platform 2 ending explained","5K+","October 4, 2024 at 8:50:00 PM UTC-4",,"the platform 2 ending explained,platform 2 ending explained,platform","https://trends.google.com/trends/explore?q=the%20platform%202%20ending%20explained&geo=US&hl=en"
"west ham vs ipswich town","10K+","October 5, 2024 at 9:00:00 AM UTC-4","October 5, 2024 at 4:30:00 PM UTC-4","west ham vs ipswich town,west ham,west ham vs. ipswich,liam delap,west ham vs ipswich town lineups","https://trends.google.com/trends/explore?q=west%20ham%20vs%20ipswich%20town&geo=US&hl=en"
"miami oh vs toledo","500+","October 5, 2024 at 3:30:00 PM UTC-4",,"miami oh vs toledo","https://trends.google.com/trends/explore?q=miami%20oh%20vs%20toledo&geo=US&hl=en"
"iran missile attack israel","20K+","October 5, 2024 at 1:20:00 PM UTC-4","October 5, 2024 at 3:30:00 PM UTC-4","iran missile attack israel,iran attack israel israeli,iran nuclear facilities,israel iran nuclear,what","https://trends.google.com/trends/explore?q=iran%20missile%20attack%20israel&geo=US&hl=en"
"alex rodriguez","500+","October 5, 2024 at 3:30:00 PM UTC-4",,"alex rodriguez","https://trends.google.com/trends/explore?q=alex%20rodriguez&geo=US&hl=en"
"luke lachey","500+","October 5, 2024 at 3:50:00 PM UTC-4",,"luke lachey","https://trends.google.com/trends/explore?q=luke%20lachey&geo=US&hl=en"
"nick castellanos","500+","October 5, 2024 at 4:20:00 PM UTC-4",,"nick castellanos","https://trends.google.com/trends/explore?q=nick%20castellanos&geo=US&hl=en"
"arsenal - southampton","20K+","October 5, 2024 at 9:10:00 AM UTC-4","October 5, 2024 at 2:40:00 PM UTC-4","arsenal - southampton,arsenal,arsenal f.c. vs southampton f.c. lineups,arsenal f.c. vs southampton f.c. stats,arsenal f.c. vs southampton f.c. timeline,arsenal f.c. vs southampton f.c. standings,arsenal vs. southampton,arsenal f.c,arsenal fc,bukayo saka,arsenal f.c.,saka,arsenal game","https://trends.google.com/trends/explore?q=arsenal%20-%20southampton&geo=US&hl=en"
"ketlen vieira","2K+","October 5, 2024 at 2:00:00 AM UTC-4",,"ketlen vieira","https://trends.google.com/trends/explore?q=ketlen%20vieira&geo=US&hl=en"
"lynx vs sun","50K+","October 4, 2024 at 7:00:00 PM UTC-4","October 5, 2024 at 10:30:00 AM UTC-4","lynx vs sun,minnesota lynx,connecticut sun,connecticut sun vs minnesota lynx match player stats,lynx,mn lynx,marina mabrey,dewanna bonner,alyssa thomas,napheesa collier,minnesota lynx vs connecticut sun,lynx game,connecticut sun vs minnesota lynx,suns vs lynx,where to watch minnesota lynx vs connecticut sun,stephanie white","https://trends.google.com/trends/explore?q=lynx%20vs%20sun&geo=US&hl=en"
"sewaddle community day","2K+","October 5, 2024 at 2:10:00 PM UTC-4",,"sewaddle community day,shiny sewaddle pokemon go","https://trends.google.com/trends/explore?q=sewaddle%20community%20day&geo=US&hl=en"
"zach bryan","1K+","October 5, 2024 at 4:10:00 PM UTC-4",,"zach bryan","https://trends.google.com/trends/explore?q=zach%20bryan&geo=US&hl=en"
"nick singleton","5K+","October 5, 2024 at 12:40:00 PM UTC-4","October 5, 2024 at 4:10:00 PM UTC-4","nick singleton,nicholas singleton,nicholas singleton injury","https://trends.google.com/trends/explore?q=nick%20singleton&geo=US&hl=en"
"cola increase 2025 social security","10K+","October 5, 2024 at 1:40:00 AM UTC-4",,"cola increase 2025 social security,2025 cola increase social security,benefits cola increase 2025","https://trends.google.com/trends/explore?q=cola%20increase%202025%20social%20security&geo=US&hl=en"
"talladega","1K+","October 5, 2024 at 3:30:00 PM UTC-4",,"talladega,talladega superspeedway","https://trends.google.com/trends/explore?q=talladega&geo=US&hl=en"
"leicester city vs bournemouth","5K+","October 5, 2024 at 9:00:00 AM UTC-4","October 5, 2024 at 3:50:00 PM UTC-4","leicester city vs bournemouth,leicester city - bournemouth","https://trends.google.com/trends/explore?q=leicester%20city%20vs%20bournemouth&geo=US&hl=en"
"mets radio","500+","October 5, 2024 at 4:10:00 PM UTC-4",,"mets radio","https://trends.google.com/trends/explore?q=mets%20radio&geo=US&hl=en"
"leverkusen vs holstein kiel","10K+","October 5, 2024 at 8:50:00 AM UTC-4","October 5, 2024 at 2:20:00 PM UTC-4","leverkusen vs holstein kiel,leverkusen - ksv holstein,leverkusen,bayer leverkusen","https://trends.google.com/trends/explore?q=leverkusen%20vs%20holstein%20kiel&geo=US&hl=en"
"biltmore estate asheville north carolina","20K+","October 5, 2024 at 3:30:00 AM UTC-4","October 5, 2024 at 1:20:00 PM UTC-4","biltmore estate asheville north carolina,biltmore estate north carolina,biltmore estate asheville,biltmore damage","https://trends.google.com/trends/explore?q=biltmore%20estate%20asheville%20north%20carolina&geo=US&hl=en"
"tijuana - pachuca","20K+","October 4, 2024 at 10:20:00 PM UTC-4","October 5, 2024 at 11:20:00 AM UTC-4","tijuana - pachuca,club tijuana vs pachuca,tijuana vs. pachuca,tijuana vs pachuca","https://trends.google.com/trends/explore?q=tijuana%20-%20pachuca&geo=US&hl=en"
"breeders cup 2024","500+","October 5, 2024 at 4:00:00 PM UTC-4",,"breeders cup 2024","https://trends.google.com/trends/explore?q=breeders%20cup%202024&geo=US&hl=en"
"sabres vs devils","10K+","October 5, 2024 at 9:40:00 AM UTC-4","October 5, 2024 at 2:50:00 PM UTC-4","sabres vs devils,sabres,buffalo sabres,devils,nj devils,paul cotter","https://trends.google.com/trends/explore?q=sabres%20vs%20devils&geo=US&hl=en"
"stanford university","500+","October 5, 2024 at 4:00:00 PM UTC-4",,"stanford university","https://trends.google.com/trends/explore?q=stanford%20university&geo=US&hl=en"
"jose ramirez","2K+","October 5, 2024 at 1:00:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","jose ramirez","https://trends.google.com/trends/explore?q=jose%20ramirez&geo=US&hl=en"
"tbs","2K+","October 5, 2024 at 12:20:00 PM UTC-4","October 5, 2024 at 4:10:00 PM UTC-4","tbs","https://trends.google.com/trends/explore?q=tbs&geo=US&hl=en"
"what channel is the mets game on today","500+","October 5, 2024 at 4:10:00 PM UTC-4",,"what channel is the mets game on today","https://trends.google.com/trends/explore?q=what%20channel%20is%20the%20mets%20game%20on%20today&geo=US&hl=en"
"novak djokovic","10K+","October 5, 2024 at 6:00:00 AM UTC-4","October 5, 2024 at 1:40:00 PM UTC-4","novak djokovic,djokovic,atp shanghai,alex michelsen","https://trends.google.com/trends/explore?q=novak%20djokovic&geo=US&hl=en"
"phillies radio","500+","October 5, 2024 at 4:10:00 PM UTC-4",,"phillies radio","https://trends.google.com/trends/explore?q=phillies%20radio&geo=US&hl=en"
"wrexham vs northampton town","5K+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 3:20:00 PM UTC-4","wrexham vs northampton town","https://trends.google.com/trends/explore?q=wrexham%20vs%20northampton%20town&geo=US&hl=en"
"getafe - osasuna","5K+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 2:30:00 PM UTC-4","getafe - osasuna","https://trends.google.com/trends/explore?q=getafe%20-%20osasuna&geo=US&hl=en"
"eggs recalled","5K+","October 5, 2024 at 10:20:00 AM UTC-4","October 5, 2024 at 2:10:00 PM UTC-4","eggs recalled,egg recall","https://trends.google.com/trends/explore?q=eggs%20recalled&geo=US&hl=en"
"missouri football schedule","2K+","October 5, 2024 at 12:50:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","missouri football schedule","https://trends.google.com/trends/explore?q=missouri%20football%20schedule&geo=US&hl=en"
"aj styles","10K+","October 4, 2024 at 8:00:00 PM UTC-4","October 5, 2024 at 2:00:00 PM UTC-4","aj styles,wwe smackdown results,hardy,smackdown results,carmelo hayes,aj styles injury,tama tonga","https://trends.google.com/trends/explore?q=aj%20styles&geo=US&hl=en"
"jimbo fisher","2K+","October 5, 2024 at 12:10:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","jimbo fisher","https://trends.google.com/trends/explore?q=jimbo%20fisher&geo=US&hl=en"
"dalton knecht","10K+","October 4, 2024 at 11:00:00 PM UTC-4","October 5, 2024 at 1:50:00 PM UTC-4","dalton knecht,max christie","https://trends.google.com/trends/explore?q=dalton%20knecht&geo=US&hl=en"
"losc vs toulouse","2K+","October 5, 2024 at 12:10:00 PM UTC-4","October 5, 2024 at 4:10:00 PM UTC-4","losc vs toulouse,losc - toulouse","https://trends.google.com/trends/explore?q=losc%20vs%20toulouse&geo=US&hl=en"
"mazatlán - querétaro","20K+","October 4, 2024 at 9:20:00 PM UTC-4","October 5, 2024 at 9:20:00 AM UTC-4","mazatlán - querétaro,mazatlán vs querétaro,mazatlán vs. querétaro","https://trends.google.com/trends/explore?q=mazatl%C3%A1n%20-%20quer%C3%A9taro&geo=US&hl=en"
"josh naylor","2K+","October 5, 2024 at 1:30:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","josh naylor","https://trends.google.com/trends/explore?q=josh%20naylor&geo=US&hl=en"
"john daly","500+","October 5, 2024 at 4:20:00 PM UTC-4",,"john daly","https://trends.google.com/trends/explore?q=john%20daly&geo=US&hl=en"
"marcus king","5K+","October 5, 2024 at 8:40:00 AM UTC-4","October 5, 2024 at 1:40:00 PM UTC-4","marcus king","https://trends.google.com/trends/explore?q=marcus%20king&geo=US&hl=en"
"louisville","2K+","October 5, 2024 at 1:00:00 PM UTC-4","October 5, 2024 at 4:30:00 PM UTC-4","louisville,acc","https://trends.google.com/trends/explore?q=louisville&geo=US&hl=en"
"coco gauff","10K+","October 5, 2024 at 3:30:00 AM UTC-4","October 5, 2024 at 9:20:00 AM UTC-4","coco gauff,china open,china open tennis 2024,paula badosa,beijing open 2024,badosa,tennis,gauff","https://trends.google.com/trends/explore?q=coco%20gauff&geo=US&hl=en"
"union berlin vs dortmund","5K+","October 5, 2024 at 8:40:00 AM UTC-4","October 5, 2024 at 2:00:00 PM UTC-4","union berlin vs dortmund","https://trends.google.com/trends/explore?q=union%20berlin%20vs%20dortmund&geo=US&hl=en"
"joaquin phoenix","20K+","October 4, 2024 at 8:00:00 PM UTC-4","October 5, 2024 at 4:10:00 AM UTC-4","joaquin phoenix,new joker movie,harley quinn,joker 2 box office,connor storrie,the joker movie,how long is joker 2,the dark knight,joker movie 2024,joker 2 ending explained,heath ledger joker,joker 2 reviews,joker rotten tomatoes,does joker 2 have a post credit scene,joker 2 cast,joker 2 end credit scene,joker 2 post credit scene,joker review,christopher nolan","https://trends.google.com/trends/explore?q=joaquin%20phoenix&geo=US&hl=en"
"balloon fiesta","5K+","October 4, 2024 at 8:00:00 PM UTC-4","October 5, 2024 at 1:40:00 PM UTC-4","balloon fiesta,albuquerque balloon fiesta,albuquerque,albuquerque balloon festival","https://trends.google.com/trends/explore?q=balloon%20fiesta&geo=US&hl=en"
"las palmas vs celta vigo","2K+","October 5, 2024 at 11:50:00 AM UTC-4","October 5, 2024 at 3:40:00 PM UTC-4","las palmas vs celta vigo,u. d. las palmas vs. celta de vigo","https://trends.google.com/trends/explore?q=las%20palmas%20vs%20celta%20vigo&geo=US&hl=en"
"josh stein","2K+","October 5, 2024 at 2:50:00 PM UTC-4","October 5, 2024 at 4:00:00 PM UTC-4","josh stein,governor of north carolina","https://trends.google.com/trends/explore?q=josh%20stein&geo=US&hl=en"
"theo wease jr","1K+","October 5, 2024 at 12:30:00 PM UTC-4","October 5, 2024 at 3:40:00 PM UTC-4","theo wease jr","https://trends.google.com/trends/explore?q=theo%20wease%20jr&geo=US&hl=en"
"west ham - ipswich","2K+","October 5, 2024 at 9:10:00 AM UTC-4","October 5, 2024 at 2:30:00 PM UTC-4","west ham - ipswich","https://trends.google.com/trends/explore?q=west%20ham%20-%20ipswich&geo=US&hl=en"
"tyler shough","2K+","October 5, 2024 at 12:10:00 PM UTC-4","October 5, 2024 at 4:10:00 PM UTC-4","tyler shough","https://trends.google.com/trends/explore?q=tyler%20shough&geo=US&hl=en"
"jhonkensy noel","1K+","October 5, 2024 at 2:10:00 PM UTC-4","October 5, 2024 at 4:10:00 PM UTC-4","jhonkensy noel","https://trends.google.com/trends/explore?q=jhonkensy%20noel&geo=US&hl=en"
"stephanie lazarus","10K+","October 4, 2024 at 9:30:00 PM UTC-4","October 5, 2024 at 10:10:00 AM UTC-4","stephanie lazarus,sherri rasmussen","https://trends.google.com/trends/explore?q=stephanie%20lazarus&geo=US&hl=en"
"trey mcbride","1K+","October 5, 2024 at 2:00:00 PM UTC-4","October 5, 2024 at 3:40:00 PM UTC-4","trey mcbride","https://trends.google.com/trends/explore?q=trey%20mcbride&geo=US&hl=en"
"marcus stroman","2K+","October 5, 2024 at 12:00:00 PM UTC-4","October 5, 2024 at 2:50:00 PM UTC-4","marcus stroman,duke ellis","https://trends.google.com/trends/explore?q=marcus%20stroman&geo=US&hl=en"
"fc union berlin - dortmund","5K+","October 5, 2024 at 8:40:00 AM UTC-4","October 5, 2024 at 1:40:00 PM UTC-4","fc union berlin - dortmund,dortmund","https://trends.google.com/trends/explore?q=fc%20union%20berlin%20-%20dortmund&geo=US&hl=en"
"josh minott","5K+","October 5, 2024 at 12:10:00 AM UTC-4","October 5, 2024 at 12:10:00 PM UTC-4","josh minott","https://trends.google.com/trends/explore?q=josh%20minott&geo=US&hl=en"
"bayley","10K+","October 4, 2024 at 9:00:00 PM UTC-4","October 5, 2024 at 11:40:00 AM UTC-4","bayley,bayley wwe,nia jax,wwe bayley","https://trends.google.com/trends/explore?q=bayley&geo=US&hl=en"
"steven kwan","1K+","October 5, 2024 at 1:20:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","steven kwan","https://trends.google.com/trends/explore?q=steven%20kwan&geo=US&hl=en"
"world teachers day 2024","2K+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 2:50:00 PM UTC-4","world teachers day 2024","https://trends.google.com/trends/explore?q=world%20teachers%20day%202024&geo=US&hl=en"
"rcd espanyol - r.c.d. mallorca","2K+","October 5, 2024 at 7:10:00 AM UTC-4","October 5, 2024 at 12:10:00 PM UTC-4","rcd espanyol - r.c.d. mallorca","https://trends.google.com/trends/explore?q=rcd%20espanyol%20-%20r.c.d.%20mallorca&geo=US&hl=en"
"atalanta - genoa","2K+","October 5, 2024 at 11:40:00 AM UTC-4","October 5, 2024 at 3:50:00 PM UTC-4","atalanta - genoa","https://trends.google.com/trends/explore?q=atalanta%20-%20genoa&geo=US&hl=en"
"chicago marathon 2024","2K+","October 5, 2024 at 6:40:00 AM UTC-4","October 5, 2024 at 2:30:00 PM UTC-4","chicago marathon 2024","https://trends.google.com/trends/explore?q=chicago%20marathon%202024&geo=US&hl=en"
"george santos","5K+","October 4, 2024 at 7:10:00 PM UTC-4","October 5, 2024 at 11:50:00 AM UTC-4","george santos","https://trends.google.com/trends/explore?q=george%20santos&geo=US&hl=en"
"call her daddy","10K+","October 4, 2024 at 7:50:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","call her daddy,kamala harris call her daddy,alex cooper,call her daddy podcast","https://trends.google.com/trends/explore?q=call%20her%20daddy&geo=US&hl=en"
"tarjeta roja","1K+","October 5, 2024 at 3:00:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","tarjeta roja","https://trends.google.com/trends/explore?q=tarjeta%20roja&geo=US&hl=en"
"diddy list","10K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 11:00:00 AM UTC-4","diddy list","https://trends.google.com/trends/explore?q=diddy%20list&geo=US&hl=en"
"stephen vogt","1K+","October 5, 2024 at 1:00:00 PM UTC-4","October 5, 2024 at 4:30:00 PM UTC-4","stephen vogt","https://trends.google.com/trends/explore?q=stephen%20vogt&geo=US&hl=en"
"duke basketball","5K+","October 4, 2024 at 8:40:00 PM UTC-4","October 5, 2024 at 10:50:00 AM UTC-4","duke basketball","https://trends.google.com/trends/explore?q=duke%20basketball&geo=US&hl=en"
"dolton illinois mayor tiffany henyard","2K+","October 5, 2024 at 11:30:00 AM UTC-4","October 5, 2024 at 1:00:00 PM UTC-4","dolton illinois mayor tiffany henyard","https://trends.google.com/trends/explore?q=dolton%20illinois%20mayor%20tiffany%20henyard&geo=US&hl=en"
"royce white","5K+","October 4, 2024 at 8:00:00 PM UTC-4","October 5, 2024 at 12:30:00 PM UTC-4","royce white","https://trends.google.com/trends/explore?q=royce%20white&geo=US&hl=en"
"leo love is blind season 7","10K+","October 4, 2024 at 8:10:00 PM UTC-4","October 5, 2024 at 3:20:00 PM UTC-4","leo love is blind season 7,brittany love is blind season 7,leo and brittany love is blind,brittany and leo love is blind,leo brody love is blind","https://trends.google.com/trends/explore?q=leo%20love%20is%20blind%20season%207&geo=US&hl=en"
"college board","5K+","October 5, 2024 at 6:10:00 AM UTC-4","October 5, 2024 at 9:50:00 AM UTC-4","college board,collegeboard","https://trends.google.com/trends/explore?q=college%20board&geo=US&hl=en"
"hernando county","2K+","October 5, 2024 at 12:40:00 PM UTC-4","October 5, 2024 at 2:50:00 PM UTC-4","hernando county","https://trends.google.com/trends/explore?q=hernando%20county&geo=US&hl=en"
"alejandro mayorkas","5K+","October 5, 2024 at 7:20:00 AM UTC-4","October 5, 2024 at 10:40:00 AM UTC-4","alejandro mayorkas","https://trends.google.com/trends/explore?q=alejandro%20mayorkas&geo=US&hl=en"
"smile 2","10K+","October 4, 2024 at 8:10:00 PM UTC-4","October 5, 2024 at 4:10:00 PM UTC-4","smile 2","https://trends.google.com/trends/explore?q=smile%202&geo=US&hl=en"
"is blue ridge parkway closed","2K+","October 5, 2024 at 12:20:00 PM UTC-4","October 5, 2024 at 2:10:00 PM UTC-4","is blue ridge parkway closed","https://trends.google.com/trends/explore?q=is%20blue%20ridge%20parkway%20closed&geo=US&hl=en"
"abdul carter","1K+","October 5, 2024 at 2:20:00 PM UTC-4","October 5, 2024 at 3:30:00 PM UTC-4","abdul carter","https://trends.google.com/trends/explore?q=abdul%20carter&geo=US&hl=en"
"halloween movies","20K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 1:40:00 AM UTC-4","halloween movies,halloween movie","https://trends.google.com/trends/explore?q=halloween%20movies&geo=US&hl=en"
"keanu reeves","2K+","October 5, 2024 at 1:50:00 PM UTC-4","October 5, 2024 at 3:10:00 PM UTC-4","keanu reeves","https://trends.google.com/trends/explore?q=keanu%20reeves&geo=US&hl=en"
"utah jazz","10K+","October 4, 2024 at 8:10:00 PM UTC-4","October 5, 2024 at 9:30:00 AM UTC-4","utah jazz,new zealand breakers","https://trends.google.com/trends/explore?q=utah%20jazz&geo=US&hl=en"
"chez mellusi","2K+","October 5, 2024 at 12:00:00 PM UTC-4","October 5, 2024 at 2:10:00 PM UTC-4","chez mellusi","https://trends.google.com/trends/explore?q=chez%20mellusi&geo=US&hl=en"
"jared leto","5K+","October 4, 2024 at 7:30:00 PM UTC-4","October 5, 2024 at 7:00:00 AM UTC-4","jared leto","https://trends.google.com/trends/explore?q=jared%20leto&geo=US&hl=en"
"getafe vs osasuna","2K+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 1:30:00 PM UTC-4","getafe vs osasuna","https://trends.google.com/trends/explore?q=getafe%20vs%20osasuna&geo=US&hl=en"
"john ritter","2K+","October 5, 2024 at 7:40:00 AM UTC-4","October 5, 2024 at 2:00:00 PM UTC-4","john ritter","https://trends.google.com/trends/explore?q=john%20ritter&geo=US&hl=en"
"hurricane names 2024","2K+","October 5, 2024 at 11:10:00 AM UTC-4","October 5, 2024 at 2:30:00 PM UTC-4","hurricane names 2024,2024 hurricane names","https://trends.google.com/trends/explore?q=hurricane%20names%202024&geo=US&hl=en"
"rayo vallecano","1K+","October 5, 2024 at 1:40:00 PM UTC-4","October 5, 2024 at 3:10:00 PM UTC-4","rayo vallecano","https://trends.google.com/trends/explore?q=rayo%20vallecano&geo=US&hl=en"
"nic scourton","1K+","October 5, 2024 at 12:50:00 PM UTC-4","October 5, 2024 at 3:00:00 PM UTC-4","nic scourton","https://trends.google.com/trends/explore?q=nic%20scourton&geo=US&hl=en"
"conclave","500+","October 5, 2024 at 3:00:00 PM UTC-4","October 5, 2024 at 4:10:00 PM UTC-4","conclave","https://trends.google.com/trends/explore?q=conclave&geo=US&hl=en"
"doubs","1K+","October 5, 2024 at 2:20:00 PM UTC-4","October 5, 2024 at 3:50:00 PM UTC-4","doubs","https://trends.google.com/trends/explore?q=doubs&geo=US&hl=en"
"aaron hernandez show","5K+","October 4, 2024 at 7:00:00 PM UTC-4","October 5, 2024 at 6:00:00 AM UTC-4","aaron hernandez show","https://trends.google.com/trends/explore?q=aaron%20hernandez%20show&geo=US&hl=en"
"david fry","500+","October 5, 2024 at 3:20:00 PM UTC-4","October 5, 2024 at 4:20:00 PM UTC-4","david fry","https://trends.google.com/trends/explore?q=david%20fry&geo=US&hl=en"
"emily belle freeman","2K+","October 5, 2024 at 12:30:00 PM UTC-4","October 5, 2024 at 1:50:00 PM UTC-4","emily belle freeman","https://trends.google.com/trends/explore?q=emily%20belle%20freeman&geo=US&hl=en"
"fortnite live event countdown","2K+","October 5, 2024 at 12:30:00 PM UTC-4","October 5, 2024 at 2:40:00 PM UTC-4","fortnite live event countdown,how to join fortnite live event,when is fortnitemares 2024","https://trends.google.com/trends/explore?q=fortnite%20live%20event%20countdown&geo=US&hl=en"
"prime day 2024","2K+","October 5, 2024 at 4:30:00 AM UTC-4","October 5, 2024 at 4:00:00 PM UTC-4","prime day 2024,amazon prime day","https://trends.google.com/trends/explore?q=prime%20day%202024&geo=US&hl=en"
"get out","5K+","October 4, 2024 at 8:00:00 PM UTC-4","October 5, 2024 at 3:30:00 AM UTC-4","get out","https://trends.google.com/trends/explore?q=get%20out&geo=US&hl=en"
"chris pine","2K+","October 4, 2024 at 8:10:00 PM UTC-4","October 5, 2024 at 12:30:00 PM UTC-4","chris pine","https://trends.google.com/trends/explore?q=chris%20pine&geo=US&hl=en"
"tommy john surgery","5K+","October 4, 2024 at 5:40:00 PM UTC-4","October 5, 2024 at 3:10:00 AM UTC-4","tommy john surgery,musgrove","https://trends.google.com/trends/explore?q=tommy%20john%20surgery&geo=US&hl=en"
"luka garza","2K+","October 4, 2024 at 11:10:00 PM UTC-4","October 5, 2024 at 9:10:00 AM UTC-4","luka garza","https://trends.google.com/trends/explore?q=luka%20garza&geo=US&hl=en"
"emmitt smith","500+","October 5, 2024 at 2:00:00 PM UTC-4","October 5, 2024 at 3:10:00 PM UTC-4","emmitt smith","https://trends.google.com/trends/explore?q=emmitt%20smith&geo=US&hl=en"
"espanyol vs mallorca","2K+","October 5, 2024 at 7:10:00 AM UTC-4","October 5, 2024 at 11:10:00 AM UTC-4","espanyol vs mallorca","https://trends.google.com/trends/explore?q=espanyol%20vs%20mallorca&geo=US&hl=en"
"xbox cloud gaming","2K+","October 5, 2024 at 1:40:00 PM UTC-4","October 5, 2024 at 3:00:00 PM UTC-4","xbox cloud gaming","https://trends.google.com/trends/explore?q=xbox%20cloud%20gaming&geo=US&hl=en"
"jeff wittek","2K+","October 5, 2024 at 6:00:00 AM UTC-4","October 5, 2024 at 12:20:00 PM UTC-4","jeff wittek,saw","https://trends.google.com/trends/explore?q=jeff%20wittek&geo=US&hl=en"
"dove awards 2024","5K+","October 4, 2024 at 7:00:00 PM UTC-4","October 5, 2024 at 9:20:00 AM UTC-4","dove awards 2024","https://trends.google.com/trends/explore?q=dove%20awards%202024&geo=US&hl=en"
"blue bloods","5K+","October 4, 2024 at 6:50:00 PM UTC-4","October 5, 2024 at 7:30:00 AM UTC-4","blue bloods","https://trends.google.com/trends/explore?q=blue%20bloods&geo=US&hl=en"
"lyle and erik menendez now","5K+","October 4, 2024 at 8:10:00 PM UTC-4","October 5, 2024 at 1:00:00 AM UTC-4","lyle and erik menendez now","https://trends.google.com/trends/explore?q=lyle%20and%20erik%20menendez%20now&geo=US&hl=en"
"manchester city f.c.","2K+","October 5, 2024 at 11:00:00 AM UTC-4","October 5, 2024 at 1:00:00 PM UTC-4","manchester city f.c.,manchester city fc","https://trends.google.com/trends/explore?q=manchester%20city%20f.c.&geo=US&hl=en"
"michael j fox","2K+","October 4, 2024 at 10:00:00 PM UTC-4","October 5, 2024 at 8:10:00 AM UTC-4","michael j fox","https://trends.google.com/trends/explore?q=michael%20j%20fox&geo=US&hl=en"
"deshaun foster","1K+","October 5, 2024 at 12:40:00 PM UTC-4","October 5, 2024 at 1:50:00 PM UTC-4","deshaun foster","https://trends.google.com/trends/explore?q=deshaun%20foster&geo=US&hl=en"
"karolína muchová","2K+","October 5, 2024 at 6:10:00 AM UTC-4","October 5, 2024 at 9:40:00 AM UTC-4","karolína muchová,muchova,qinwen zheng,tennis scores,karolina muchova","https://trends.google.com/trends/explore?q=karol%C3%ADna%20muchov%C3%A1&geo=US&hl=en"
"mxgp tv","2K+","October 5, 2024 at 8:30:00 AM UTC-4","October 5, 2024 at 12:10:00 PM UTC-4","mxgp tv,mxon 2024","https://trends.google.com/trends/explore?q=mxgp%20tv&geo=US&hl=en"
"wheel of fortune","20K+","October 4, 2024 at 7:20:00 PM UTC-4","October 4, 2024 at 9:00:00 PM UTC-4","wheel of fortune,wheel of fortune bonus puzzle","https://trends.google.com/trends/explore?q=wheel%20of%20fortune&geo=US&hl=en"
"aurora borealis tonight","10K+","October 4, 2024 at 8:00:00 PM UTC-4","October 5, 2024 at 9:00:00 AM UTC-4","aurora borealis tonight,northern lights michigan,northern lights ohio,noaa aurora forecast","https://trends.google.com/trends/explore?q=aurora%20borealis%20tonight&geo=US&hl=en"
"stephen king","5K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 5:30:00 AM UTC-4","stephen king","https://trends.google.com/trends/explore?q=stephen%20king&geo=US&hl=en"
"halloween ends","2K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 6:10:00 AM UTC-4","halloween ends","https://trends.google.com/trends/explore?q=halloween%20ends&geo=US&hl=en"
"taylor fritz","1K+","October 5, 2024 at 4:20:00 AM UTC-4","October 5, 2024 at 9:30:00 AM UTC-4","taylor fritz","https://trends.google.com/trends/explore?q=taylor%20fritz&geo=US&hl=en"
"stanford steve","2K+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 12:20:00 PM UTC-4","stanford steve,rece davis,steve coughlin","https://trends.google.com/trends/explore?q=stanford%20steve&geo=US&hl=en"
